_num,_widgetName,_source,_resultNumber,_pageUrl,rank,team,points,delta
1,fifa-rankings,fifa-rankings,1,http://www.fifa.com/worldranking/rankingtable/,1,Spain,1460,0
2,fifa-rankings,fifa-rankings,2,http://www.fifa.com/worldranking/rankingtable/,2,Germany,1340,0
3,fifa-rankings,fifa-rankings,3,http://www.fifa.com/worldranking/rankingtable/,3,Portugal,1245,0
4,fifa-rankings,fifa-rankings,4,http://www.fifa.com/worldranking/rankingtable/,4,Brazil,1210,2
5,fifa-rankings,fifa-rankings,5,http://www.fifa.com/worldranking/rankingtable/,5,Colombia,1186,-1
6,fifa-rankings,fifa-rankings,6,http://www.fifa.com/worldranking/rankingtable/,6,Uruguay,1181,-1
7,fifa-rankings,fifa-rankings,7,http://www.fifa.com/worldranking/rankingtable/,7,Argentina,1178,-1
8,fifa-rankings,fifa-rankings,8,http://www.fifa.com/worldranking/rankingtable/,8,Switzerland,1161,0
9,fifa-rankings,fifa-rankings,9,http://www.fifa.com/worldranking/rankingtable/,9,Italy,1115,0
10,fifa-rankings,fifa-rankings,10,http://www.fifa.com/worldranking/rankingtable/,10,Greece,1082,0
11,fifa-rankings,fifa-rankings,11,http://www.fifa.com/worldranking/rankingtable/,11,England,1043,0
12,fifa-rankings,fifa-rankings,12,http://www.fifa.com/worldranking/rankingtable/,12,Belgium,1039,0
13,fifa-rankings,fifa-rankings,13,http://www.fifa.com/worldranking/rankingtable/,13,Chile,1037,1
14,fifa-rankings,fifa-rankings,14,http://www.fifa.com/worldranking/rankingtable/,14,USA,1015,-1
15,fifa-rankings,fifa-rankings,15,http://www.fifa.com/worldranking/rankingtable/,15,Netherlands,967,0
16,fifa-rankings,fifa-rankings,16,http://www.fifa.com/worldranking/rankingtable/,16,France,935,0
17,fifa-rankings,fifa-rankings,17,http://www.fifa.com/worldranking/rankingtable/,17,Ukraine,913,0
18,fifa-rankings,fifa-rankings,18,http://www.fifa.com/worldranking/rankingtable/,18,Russia,903,0
19,fifa-rankings,fifa-rankings,19,http://www.fifa.com/worldranking/rankingtable/,19,Mexico,877,0
20,fifa-rankings,fifa-rankings,20,http://www.fifa.com/worldranking/rankingtable/,20,Croatia,871,0
21,fifa-rankings,fifa-rankings,21,http://www.fifa.com/worldranking/rankingtable/,21,Côte d'Ivoire,830,0
22,fifa-rankings,fifa-rankings,22,http://www.fifa.com/worldranking/rankingtable/,22,Scotland,825,0
23,fifa-rankings,fifa-rankings,23,http://www.fifa.com/worldranking/rankingtable/,23,Denmark,819,0
24,fifa-rankings,fifa-rankings,24,http://www.fifa.com/worldranking/rankingtable/,24,Egypt,798,0
25,fifa-rankings,fifa-rankings,25,http://www.fifa.com/worldranking/rankingtable/,25,Bosnia and Herzegovina,795,0
26,fifa-rankings,fifa-rankings,26,http://www.fifa.com/worldranking/rankingtable/,25,Sweden,795,0
27,fifa-rankings,fifa-rankings,27,http://www.fifa.com/worldranking/rankingtable/,25,Algeria,795,0
28,fifa-rankings,fifa-rankings,28,http://www.fifa.com/worldranking/rankingtable/,28,Ecuador,794,0
29,fifa-rankings,fifa-rankings,29,http://www.fifa.com/worldranking/rankingtable/,29,Slovenia,787,0
30,fifa-rankings,fifa-rankings,30,http://www.fifa.com/worldranking/rankingtable/,30,Serbia,759,0
31,fifa-rankings,fifa-rankings,31,http://www.fifa.com/worldranking/rankingtable/,30,Honduras,759,2
